Timestamp,Emotion,EAR,YawnDistance,DrowsinessAlert,YawnAlert,FaceMissing
2025-12-18 11:20:36,Angry,0.22,0.35,No,No,No
2025-12-18 11:20:36,Sad,0.23,0.38,No,No,No
2025-12-18 11:20:36,Sad,0.23,0.37,No,No,No
2025-12-18 11:20:36,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:36,Sad,0.27,0.39,No,No,No
2025-12-18 11:20:36,Sad,0.25,0.43,No,No,No
2025-12-18 11:20:36,Fear,0.26,0.41,No,No,No
2025-12-18 11:20:36,Fear,0.28,0.34,No,No,No
2025-12-18 11:20:37,Neutral,0.27,0.31,No,No,No
2025-12-18 11:20:37,Neutral,0.25,0.35,No,No,No
2025-12-18 11:20:37,Neutral,0.25,0.35,No,No,No
2025-12-18 11:20:37,Neutral,0.27,0.38,No,No,No
2025-12-18 11:20:37,Neutral,0.26,0.42,No,No,No
2025-12-18 11:20:37,Neutral,0.24,0.43,No,No,No
2025-12-18 11:20:37,Neutral,0.26,0.43,No,No,No
2025-12-18 11:20:37,Fear,0.25,0.42,No,No,No
2025-12-18 11:20:37,Angry,0.25,0.43,No,No,No
2025-12-18 11:20:37,Angry,0.27,0.46,No,No,No
2025-12-18 11:20:38,Angry,0.23,0.43,No,No,No
2025-12-18 11:20:38,Sad,0.26,0.44,No,No,No
2025-12-18 11:20:38,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:38,Angry,0.18,0.45,No,No,No
2025-12-18 11:20:38,Sad,0.15,0.40,No,No,No
2025-12-18 11:20:38,Angry,0.15,0.45,No,No,No
2025-12-18 11:20:38,Angry,0.17,0.43,No,No,No
2025-12-18 11:20:38,Angry,0.15,0.42,No,No,No
2025-12-18 11:20:38,Angry,0.12,0.46,No,No,No
2025-12-18 11:20:38,Angry,0.15,0.44,No,No,No
2025-12-18 11:20:38,Angry,0.19,0.44,No,No,No
2025-12-18 11:20:38,Angry,0.16,0.44,No,No,No
2025-12-18 11:20:39,Angry,0.16,0.42,Yes,No,No
2025-12-18 11:20:39,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:39,Sad,0.17,0.40,Yes,No,No
2025-12-18 11:20:39,Sad,0.18,0.42,Yes,No,No
2025-12-18 11:20:39,Sad,0.15,0.42,Yes,No,No
2025-12-18 11:20:39,Sad,0.18,0.46,Yes,No,No
2025-12-18 11:20:39,Sad,0.16,0.46,Yes,No,No
2025-12-18 11:20:39,Sad,0.15,0.45,Yes,No,No
2025-12-18 11:20:39,Sad,0.15,0.47,Yes,No,No
2025-12-18 11:20:39,Sad,0.14,0.58,Yes,No,No
2025-12-18 11:20:39,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:40,Angry,0.14,0.58,Yes,No,No
2025-12-18 11:20:40,Angry,0.16,0.56,Yes,No,No
2025-12-18 11:20:40,Angry,0.17,0.60,Yes,No,No
2025-12-18 11:20:40,Angry,0.15,0.57,Yes,No,No
2025-12-18 11:20:40,Angry,0.16,0.61,Yes,No,No
2025-12-18 11:20:40,Angry,0.18,0.58,Yes,No,No
2025-12-18 11:20:40,Angry,0.18,0.56,Yes,No,No
2025-12-18 11:20:40,Angry,0.18,0.55,Yes,No,No
2025-12-18 11:20:40,Angry,0.18,0.57,Yes,No,No
2025-12-18 11:20:40,Angry,0.17,0.56,Yes,No,No
2025-12-18 11:20:40,Angry,0.15,0.57,Yes,No,No
2025-12-18 11:20:41,Angry,0.17,0.57,Yes,No,No
2025-12-18 11:20:41,Angry,0.16,0.55,Yes,No,No
2025-12-18 11:20:41,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:41,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:41,Angry,0.17,0.59,Yes,Yes,No
2025-12-18 11:20:41,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:41,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:41,Angry,0.17,0.53,Yes,Yes,No
2025-12-18 11:20:41,Angry,0.18,0.50,Yes,Yes,No
2025-12-18 11:20:41,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:41,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:41,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:41,Angry,0.07,0.46,Yes,No,No
2025-12-18 11:20:41,Angry,0.15,0.39,Yes,No,No
2025-12-18 11:20:41,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:42,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:42,Angry,0.29,0.17,No,No,No
2025-12-18 11:20:42,Neutral,0.29,0.11,No,No,No
2025-12-18 11:20:42,Neutral,0.28,0.11,No,No,No
2025-12-18 11:20:42,Neutral,0.29,0.02,No,No,No
2025-12-18 11:20:42,Neutral,0.28,0.00,No,No,No
2025-12-18 11:20:42,Neutral,0.30,0.00,No,No,No
2025-12-18 11:20:42,Neutral,0.30,0.00,No,No,No
2025-12-18 11:20:42,Sad,0.31,0.00,No,No,No
2025-12-18 11:20:42,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:42,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:42,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:42,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:42,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:43,None,0.00,0.00,No,No,Yes
2025-12-18 11:20:43,Sad,0.30,0.00,No,No,No
2025-12-18 11:20:43,Sad,0.31,0.00,No,No,No
